Name, Power, Strength, Magic, Intelligence, Speed, Defense, Poison, Rage, Corrupted, Evilness, Age, Personality, Hometown, Favorite_Color, Weakness, Height, Weight, isVillain, isLiving, isEmployed, isHuman
Crimson Lightning, 8, 78, 40, 58, 63, 11, 19, 89, 75, 57, 18.00, Brave, Singapore, 0xf06cdc, Energy drain, 10' 9'', 227.61759, False, False, False, True
Crimson Soldier, 5, 89, 52, 47, 4, 63, 79, 52, 76, 64, 47.81, Vengeful, Rio de Janeiro, 0x164615, Light sensitive, 3' 5'', 208.94437, True, False, False, True
Super Woman, 70, 39, 6, 25, 13, 68, 62, 57, 48, 6, 20.07, Cruel, Columbus, 0xa535ea, Overconfident, 10' 6'', 49.33424, True, True, True, True
Crimson Surfer, 85, 92, 80, 84, 52, 42, 66, 10, 42, 77, 59.13, Cunning, Washington, 0x1f547d, Obsessive, 9' 2'', 58.68134, True, False, True, False
Green Master, 5, 18, 96, 89, 42, 85, 52, 96, 37, 55, 51.63, Sadistic, Abidjan, 0x893fed, Reckless, 9' 11'', 43.72937, True, True, False, True
Ancient Skull, 34, 69, 45, 25, 98, 64, 45, 11, 77, 12, 50.49, Cold blooded, Dar es Salaam, 0xc73438, Trusting, 3' 8'', 19.74384, False, False, True, True
Ancient Machine, 96, 42, 11, 39, 29, 97, 79, 79, 68, 53, 25.06, Sarcastic, Belo Horizonte, 0x559430, Darkness bound, 2' 10'', 8.61730, True, True, True, True
Rocket Void, 57, 7, 68, 87, 84, 4, 26, 6, 59, 3, 38.42, Clever, Dhaka, 0x2dbfac, Magic vulnerable, 6' 8'', 76.42689, True, False, True, False
Professor Doom, 96, 43, 26, 41, 12, 46, 59, 17, 37, 68, 33.60, Clever, Barcelona, 0x2dffb5, Manipulable, 5' 0'', 74.84829, True, True, False, True
Masked Darkness, 97, 44, 51, 61, 17, 59, 45, 29, 19, 11, 21.40, Calculating, Zhengzhou, 0xe3c61a, Greedy, 4' 1'', 197.63508, False, True, True, True
Master Entity, 0, 7, 24, 53, 89, 17, 77, 98, 62, 28, 71.74, Compassionate, Shanghai, 0x3c608e, Hubris, 2' 1'', 238.13320, True, True, True, True
Incredible Woman, 20, 35, 94, 44, 91, 80, 19, 40, 72, 7, 26.62, Vengeful, Philadelphia, 0x30f8b6, Energy drain, 16' 1'', 148.82073, True, False, False, False
Metal Fist, 14, 71, 71, 51, 13, 99, 76, 77, 29, 13, 34.46, Vengeful, Osaka, 0xe7e4b3, Paranoid, 2' 0'', 261.77856, False, False, True, True
Rocket Girl, 86, 34, 91, 67, 4, 15, 48, 98, 76, 95, 29.52, Power hungry, Dalian, 0xd50128, Obsessive, 15' 6'', 58.90520, False, False, True, False
Silver Surfer, 1, 20, 97, 43, 43, 70, 38, 21, 76, 25, 24.70, Brave, Osaka, 0xbc0959, Magic vulnerable, 8' 4'', 194.35825, True, True, False, False
Invisible Cloak, 87, 71, 81, 36, 86, 10, 61, 32, 67, 60, 28.99, Determined, Dongguan, 0x2d7d29, Soft hearted, 3' 5'', 181.20651, True, False, False, False
Wonder Soldier, 74, 70, 87, 66, 76, 55, 47, 95, 81, 14, 34.31, Stoic, Los Angeles, 0x6399e0, Vengeful, 8' 3'', 290.43046, True, False, True, False
Silver Skull, 47, 8, 10, 81, 95, 11, 9, 74, 2, 69, 43.82, Cunning, Detroit, 0x6368bc, Hotheaded, 12' 11'', 48.77371, False, False, True, False
Ancient Master, 17, 13, 28, 66, 76, 39, 56, 70, 37, 72, 18.00, Vengeful, Sydney, 0xeae289, Water weakness, 19' 2'', 29.89755, True, True, False, True
Super Torch, 81, 61, 14, 58, 1, 95, 69, 35, 5, 49, 25.72, Manipulative, Suzhou, 0x59ce4d, Hubris, 9' 7'', 136.04442, True, True, True, True
Omega Void, 51, 39, 52, 4, 9, 73, 2, 60, 62, 13, 36.72, Sarcastic, Chicago, 0xc2adc2, Prideful, 15' 5'', 151.52414, False, False, True, False
Green Fist, 65, 52, 34, 10, 83, 64, 52, 54, 77, 12, 38.10, Vengeful, Kinshasa, 0xa66637, Light sensitive, 4' 4'', 237.64930, False, False, True, True
Wonder Claw, 88, 90, 63, 25, 50, 35, 0, 36, 26, 3, 18.00, Arrogant, Rio de Janeiro, 0xe2917b, Radiation weak, 1' 4'', 83.79497, False, True, False, True
Green Void, 2, 39, 96, 8, 28, 53, 33, 71, 18, 56, 18.00, Sadistic, Houston, 0x8d6a4d, Electric weakness, 16' 10'', 45.37962, True, False, True, False
Iron Darkness, 79, 5, 27, 95, 67, 39, 8, 67, 17, 32, 57.51, Determined, Lima, 0x04802c, Lonely, 10' 7'', 165.83362, True, False, False, False
Dark Torch, 91, 64, 13, 21, 0, 31, 50, 6, 49, 99, 58.37, Cunning, Johannesburg, 0x72b315, Overconfident, 16' 10'', 36.09150, False, False, False, False
Mr Woman, 12, 58, 6, 75, 4, 35, 38, 92, 93, 47, 26.75, Protective, Seoul, 0xd19e4e, Water weakness, 10' 6'', 50.33654, True, True, True, False
Spider Machine, 29, 92, 29, 83, 33, 29, 87, 66, 92, 64, 20.85, Sarcastic, Austin, 0x121f33, Energy drain, 9' 3'', 117.51036, True, False, True, True
Doctor Claw, 74, 39, 30, 63, 98, 5, 96, 74, 20, 42, 39.59, Compassionate, Belo Horizonte, 0x4cbe2e, Guilt ridden, 12' 1'', 120.16000, False, True, False, True
Green Lightning, 52, 12, 57, 27, 53, 33, 23, 21, 14, 0, 24.12, Cunning, Pune, 0x85a717, Naive, 8' 5'', 142.45340, False, False, False, True
Dark Master, 99, 88, 85, 94, 66, 8, 71, 48, 79, 12, 20.91, Brave, Recife, 0xae8c23, Paranoid, 15' 5'', 283.75837, True, False, True, True
Captain Phantom, 16, 27, 70, 58, 76, 48, 12, 11, 52, 4, 40.71, Clever, Shenzhen, 0x99aa70, Light sensitive, 18' 5'', 114.22714, True, False, False, True
Human Cloak, 37, 52, 29, 90, 82, 40, 86, 19, 53, 71, 31.43, Loyal, Bangkok, 0x520b27, Short sighted, 19' 6'', 106.13921, True, True, False, False
Ms Woman, 49, 96, 89, 56, 36, 41, 76, 6, 21, 86, 30.21, Brave, Surat, 0x1d53f0, Guilt ridden, 17' 9'', 290.26643, True, False, True, False
Night Boy, 54, 29, 23, 26, 10, 92, 88, 8, 52, 77, 8406.97, Power hungry, Sao Paulo, 0x9a70bc, Short sighted, 5' 9'', 12.74988, True, True, False, False
Master Boy, 12, 84, 8, 51, 42, 32, 42, 12, 60, 57, 8023.14, Reckless, Nanjing, 0x5ff4c8, Manipulable, 18' 7'', 84.31688, False, False, False, True
Power Crusader, 33, 41, 82, 11, 2, 44, 38, 22, 38, 57, 42.14, Cruel, Karachi, 0x4c0956, Hotheaded, 9' 7'', 30.85573, True, False, True, True
Silver Entity, 86, 72, 28, 37, 23, 15, 25, 49, 47, 90, 41.69, Cold blooded, San Francisco, 0x3521ab, Silver weakness, 1' 10'', 21.04704, True, False, False, False
Radioactive Lightning, 49, 22, 83, 84, 99, 22, 15, 73, 32, 64, 36.93, Clever, Houston, 0x3e42ce, Greedy, 14' 3'', 210.08572, True, False, False, False
Mr Darkness, 75, 50, 25, 63, 74, 13, 0, 43, 4, 77, 44.40, Brave, Kinshasa, 0x4c5710, Prideful, 18' 7'', 44.88927, False, False, False, False
Doctor Ghost, 52, 46, 98, 85, 91, 6, 70, 76, 85, 77, 38.82, Loyal, Riyadh, 0x36abe4, Paranoid, 7' 1'', 190.01834, False, False, False, True
Invisible Claw, 18, 95, 68, 58, 36, 39, 7, 81, 14, 60, 18.00, Brave, Foshan, 0xe7c060, Darkness bound, 16' 9'', 144.03034, True, False, True, False
Human Void, 50, 39, 24, 93, 40, 93, 61, 59, 53, 35, 40.31, Cold blooded, Toronto, 0xb2c478, Power addicted, 13' 6'', 246.29358, True, True, False, True
Mr Centurion, 50, 31, 60, 76, 47, 35, 15, 60, 94, 30, 21.20, Determined, Kinshasa, 0x621d24, Egotistical, 13' 5'', 257.51045, True, True, True, False
Crimson Master, 99, 17, 47, 84, 31, 56, 95, 45, 68, 6, 46.82, Obsessive, London, 0x8c184f, Silver weakness, 3' 3'', 124.82873, True, False, True, True
Ms Man, 73, 27, 91, 15, 91, 14, 6, 24, 4, 62, 56.98, Cold blooded, Barcelona, 0xffb072, Trusting, 10' 9'', 248.73877, False, True, False, True
Incredible Machine, 0, 60, 58, 20, 78, 12, 85, 61, 71, 27, 50.28, Arrogant, San Diego, 0x214fd2, Obsessive, 14' 6'', 7.31139, False, True, False, False
Spider Lightning, 57, 39, 28, 74, 83, 40, 71, 9, 62, 100, 37.61, Loyal, Kano, 0xc896ef, Hubris, 1' 7'', 241.59309, False, True, True, False
Dark Doom, 22, 40, 48, 76, 69, 80, 73, 17, 53, 27, 18.00, Protective, Porto Alegre, 0x83b700, Sound sensitive, 0' 1'', 190.27156, True, False, False, False
Omega Fist, 31, 79, 30, 51, 61, 73, 42, 66, 53, 28, 34.18, Arrogant, Buenos Aires, 0xb5f085, Sound sensitive, 9' 3'', 94.47818, True, False, True, True
Mr Shadow, 53, 28, 87, 94, 4, 96, 66, 11, 7, 80, 7886.90, Honorable, Ankara, 0x9cf6fe, Light sensitive, 12' 8'', 65.04837, False, True, True, True
Iron Warrior, 61, 1, 55, 22, 12, 12, 70, 46, 74, 67, 33.79, Cruel, Wuhan, 0x45b9e9, Water weakness, 17' 7'', 204.88413, True, False, False, True
Rocket Surfer, 82, 77, 48, 13, 80, 52, 67, 94, 29, 21, 33.35, Honorable, Singapore, 0x61004c, Greedy, 14' 8'', 26.02375, True, True, True, False
Master Darkness, 88, 6, 10, 33, 45, 35, 28, 49, 42, 81, 21.96, Honorable, Santiago, 0xe512e9, Fire weakness, 9' 11'', 220.10121, True, False, False, False
Omega X, 3, 26, 34, 30, 3, 22, 51, 34, 26, 64, 49.19, Cold blooded, Cape Town, 0x09375b, Prideful, 2' 1'', 157.13390, True, True, True, True
The Hornet, 91, 94, 46, 56, 69, 13, 85, 82, 4, 4, 40.79, Stoic, Tianjin, 0xa4cc76, Poison susceptible, 20' 4'', 209.94599, True, True, True, True
Mr Skull, 81, 39, 33, 24, 14, 4, 80, 67, 100, 91, 19.11, Reckless, Porto Alegre, 0xa66206, Sound sensitive, 11' 9'', 21.75007, True, True, False, True
Masked Knight, 96, 70, 92, 34, 91, 71, 44, 29, 8, 10, 28.21, Brave, Sao Paulo, 0x8be4ce, Short sighted, 4' 7'', 52.60736, False, False, True, False
Rocket Hulk, 95, 68, 55, 40, 49, 4, 79, 11, 17, 89, 25.27, Obsessive, Rio de Janeiro, 0xe46d42, Lonely, 9' 7'', 128.70262, True, True, False, True
Omega Master, 88, 61, 9, 99, 19, 38, 23, 9, 29, 34, 57.26, Cold blooded, Washington, 0x0558a1, Electric weakness, 3' 10'', 120.99289, False, True, True, True
Night Phantom, 42, 26, 91, 33, 12, 86, 25, 2, 19, 70, 30.81, Obsessive, Bogota, 0x6bfc70, Technology vulnerable, 7' 8'', 190.86464, False, True, False, False
Impossible Machine, 14, 35, 82, 56, 69, 8, 4, 23, 61, 62, 60.61, Ruthless, Manila, 0x126e06, Light sensitive, 15' 4'', 261.93878, False, True, True, True
Ms Knight, 30, 3, 43, 5, 73, 67, 2, 39, 57, 66, 24.44, Brave, Nairobi, 0x69db19, Reckless, 3' 10'', 148.62547, True, True, True, True
Captain Torch, 43, 99, 64, 27, 28, 74, 90, 40, 84, 13, 65.55, Cunning, Pune, 0x11c246, Darkness bound, 5' 0'', 43.05273, False, True, True, True
Doctor Surfer, 7, 11, 41, 15, 70, 48, 14, 98, 63, 69, 47.98, Cunning, Istanbul, 0x5dbe41, Soft hearted, 17' 0'', 89.34154, True, True, False, True
Omega Woman, 89, 4, 89, 61, 38, 7, 49, 49, 98, 67, 7229.42, Honorable, Los Angeles, 0x780518, Water weakness, 7' 10'', 147.84412, True, False, True, False
Doctor Lightning, 53, 97, 66, 46, 98, 18, 37, 28, 8, 57, 34.58, Obsessive, Chengdu, 0xa19271, Radiation weak, 16' 0'', 216.30395, True, True, False, False
Super Shadow, 57, 66, 83, 38, 52, 31, 47, 20, 31, 75, 33.04, Cruel, Belo Horizonte, 0x9ecb05, Reckless, 6' 10'', 51.43855, True, False, False, False
Ms Void, 75, 98, 61, 28, 12, 69, 56, 78, 86, 70, 39.57, Reckless, Kuala Lumpur, 0x749776, Ice weakness, 14' 0'', 74.74175, False, True, True, True
Dark Warrior, 68, 51, 52, 97, 62, 88, 25, 48, 85, 69, 6111.00, Cunning, Lahore, 0x8e01b8, Egotistical, 16' 1'', 132.31837, True, True, False, False
Mr Girl, 89, 62, 7, 85, 64, 76, 80, 54, 89, 61, 43.04, Obsessive, Jacksonville, 0x6ef77e, Naive, 5' 3'', 45.45543, True, True, True, True
Metal Boy, 42, 96, 18, 20, 71, 19, 22, 47, 94, 41, 32.61, Determined, Bangkok, 0xc2f5c2, Fire weakness, 14' 10'', 238.90689, True, False, False, False
Radioactive Torch, 91, 80, 49, 31, 64, 45, 20, 81, 24, 66, 18.00, Compassionate, Toronto, 0xdaf5c2, Fearful, 2' 6'', 12.06504, True, False, True, False
Captain Doom, 79, 94, 27, 70, 54, 9, 6, 93, 16, 64, 51.80, Cunning, Bangalore, 0x960cc6, Darkness bound, 5' 10'', 122.78135, True, False, True, True
Master Hulk, 11, 81, 94, 85, 3, 23, 13, 90, 90, 96, 42.91, Cruel, Riyadh, 0xf05867, Guilt ridden, 20' 9'', 192.48990, False, True, True, True
The Daredevil, 62, 47, 21, 11, 17, 24, 70, 47, 46, 39, 44.03, Brave, Singapore, 0xca0df7, Darkness bound, 0' 7'', 154.90321, False, True, True, False
Master Void, 50, 98, 49, 18, 45, 74, 95, 18, 49, 25, 39.73, Cruel, Paris, 0x967687, Electric weakness, 3' 4'', 261.10407, False, True, False, True
Power Knight, 24, 59, 62, 78, 52, 21, 19, 21, 84, 48, 53.58, Compassionate, Jacksonville, 0x18bebd, Vengeful, 4' 3'', 224.92030, True, True, False, True
Metal Hornet, 90, 64, 27, 21, 86, 53, 10, 94, 88, 51, 31.92, Clever, Madrid, 0x03f9e9, Prideful, 2' 6'', 140.48019, True, True, False, True
Power Machine, 73, 37, 18, 16, 12, 24, 62, 46, 60, 45, 1095.99, Compassionate, San Francisco, 0xba37b9, Hubris, 10' 2'', 95.02071, False, False, False, True
Power Claw, 7, 79, 81, 64, 65, 60, 36, 100, 1, 66, 45.15, Power hungry, Wuhan, 0x38fd40, Short sighted, 18' 0'', 93.81773, True, True, True, False
Impossible Hornet, 11, 68, 41, 16, 100, 64, 0, 58, 74, 49, 37.70, Compassionate, Chongqing, 0xc88263, Poison susceptible, 17' 4'', 146.65899, False, True, False, True
The Cloak, 98, 28, 26, 93, 44, 53, 22, 88, 48, 83, 52.02, Sadistic, Surat, 0x01cb0f, Magic vulnerable, 2' 4'', 260.82049, True, True, True, False
Impossible Warrior, 96, 54, 56, 69, 15, 8, 32, 100, 39, 62, 24.43, Calculating, London, 0x0546a9, Magic vulnerable, 16' 10'', 28.81562, False, False, False, False
Incredible Warrior, 18, 96, 95, 2, 77, 85, 56, 42, 55, 35, 31.56, Power hungry, Foshan, 0x88a9b9, Radiation weak, 1' 9'', 120.43959, True, True, False, True
Spider Darkness, 16, 29, 96, 13, 31, 53, 88, 37, 74, 69, 29.13, Clever, Foshan, 0x67b2e5, Sound sensitive, 19' 9'', 9.22374, False, False, True, False
Green Claw, 15, 83, 41, 74, 25, 65, 60, 79, 27, 43, 54.60, Sadistic, Wuhan, 0xa0ae14, Magic vulnerable, 15' 2'', 202.26866, False, True, True, False
Incredible Hulk, 53, 42, 41, 71, 27, 50, 2, 60, 94, 68, 5839.90, Protective, Paris, 0x64d7f5, Naive, 7' 6'', 226.85407, True, True, False, False
Impossible Torch, 39, 86, 60, 12, 28, 20, 28, 84, 58, 20, 26.67, Obsessive, Foshan, 0x680082, Overconfident, 0' 10'', 205.94392, False, False, True, True
Spider Cloak, 86, 76, 94, 38, 80, 72, 22, 88, 73, 1, 23.25, Manipulative, Shanghai, 0xdf73c9, Technology vulnerable, 11' 11'', 248.41844, False, False, False, True
Wonder Doom, 63, 95, 61, 100, 24, 81, 92, 58, 80, 44, 60.31, Obsessive, Yangon, 0x8d68bf, Vengeful, 13' 4'', 154.15257, True, True, True, False
Invisible Daredevil, 84, 33, 96, 20, 69, 11, 96, 14, 66, 78, 66.80, Protective, Zhengzhou, 0xd475f9, Water weakness, 7' 7'', 213.31779, False, True, True, False
Wonder Lightning, 20, 83, 31, 66, 2, 76, 30, 1, 1, 25, 41.53, Obsessive, Zhengzhou, 0x0abeb8, Impulsive, 10' 4'', 128.01644, False, True, False, True
Doctor Doom, 33, 99, 37, 86, 37, 19, 10, 52, 24, 39, 46.06, Cold blooded, Toronto, 0x6fa886, Manipulable, 20' 5'', 278.32871, True, False, False, False
Night Shadow, 7, 49, 57, 88, 96, 35, 1, 78, 15, 84, 40.19, Obsessive, Kinshasa, 0x8f79fe, Silver weakness, 16' 5'', 270.92788, True, True, False, False
Omega Entity, 98, 13, 99, 8, 93, 44, 80, 56, 66, 90, 41.42, Clever, Lima, 0x25d5cb, Silver weakness, 9' 0'', 208.98839, True, False, True, True
The Hulk, 89, 9, 11, 21, 17, 49, 66, 100, 59, 52, 18.00, Compassionate, Buenos Aires, 0x25052b, Silver weakness, 4' 11'', 221.96894, True, True, False, False
Green Warrior, 42, 54, 20, 83, 7, 24, 95, 33, 4, 16, 27.68, Protective, Addis Ababa, 0xe486ee, Trusting, 7' 6'', 130.06748, True, True, False, False
Omega Surfer, 42, 20, 9, 56, 77, 47, 80, 44, 99, 79, 18.00, Clever, Bangalore, 0xe6c274, Lonely, 17' 3'', 23.21098, True, False, False, False
Human Torch, 80, 52, 1, 1, 24, 70, 51, 70, 66, 39, 30.15, Stoic, Mumbai, 0xfe8fdd, Darkness bound, 12' 8'', 52.66455, True, True, True, True
Radioactive Cloak, 67, 36, 58, 45, 87, 61, 76, 58, 10, 27, 30.37, Determined, Karachi, 0xf2418e, Paranoid, 14' 6'', 130.22212, False, False, False, True
Night Darkness, 46, 61, 55, 55, 39, 2, 74, 9, 37, 90, 37.90, Brave, Lahore, 0xe63af6, Hotheaded, 12' 1'', 276.30810, False, False, False, False
Night Knight, 86, 55, 48, 28, 34, 24, 49, 55, 43, 38, 29.09, Protective, Dallas, 0x2c2cf4, Overconfident, 5' 2'', 267.65217, True, False, True, False
Masked Doom, 84, 35, 89, 73, 35, 79, 30, 44, 10, 58, 38.35, Charismatic, Seoul, 0x7ba338, Power addicted, 6' 7'', 45.53858, True, False, False, True
Human X, 55, 98, 94, 27, 43, 74, 68, 95, 69, 71, 18.00, Compassionate, Qingdao, 0xae97ce, Egotistical, 19' 1'', 198.73051, False, False, True, False
Radioactive Crusader, 64, 41, 60, 37, 56, 90, 35, 1, 4, 6, 34.20, Obsessive, Johannesburg, 0x9be35c, Paranoid, 8' 9'', 116.19805, True, True, False, True
Green Crusader, 39, 66, 2, 23, 85, 69, 96, 91, 0, 45, 53.63, Protective, Riyadh, 0x46d0e6, Water weakness, 5' 1'', 288.79813, False, False, False, False
Wonder Torch, 64, 86, 16, 7, 96, 85, 11, 3, 25, 45, 28.99, Cunning, Beijing, 0xceeddf, Technology vulnerable, 17' 11'', 40.19766, False, True, True, True
Invisible Machine, 100, 72, 34, 88, 73, 22, 85, 84, 84, 27, 48.48, Vengeful, Mumbai, 0x5b3820, Naive, 20' 1'', 194.44754, True, False, False, False
Green Darkness, 77, 61, 17, 7, 65, 87, 62, 63, 1, 53, 25.69, Determined, Kinshasa, 0x9dd07c, Manipulable, 13' 7'', 189.42156, False, True, False, True
Power Skull, 14, 15, 65, 86, 7, 11, 20, 33, 91, 72, 39.88, Stoic, Santiago, 0x24aae9, Stubborn, 14' 2'', 274.70031, True, True, True, False
Spider Boy, 85, 41, 86, 80, 80, 97, 73, 27, 23, 68, 21.71, Stoic, Manila, 0x5fd398, Technology vulnerable, 10' 6'', 147.08426, True, False, False, True
Professor Master, 88, 99, 65, 65, 76, 9, 53, 38, 28, 42, 40.39, Cunning, Johannesburg, 0xf577ad, Trusting, 14' 10'', 261.96719, False, False, False, True
Super Machine, 26, 36, 53, 12, 33, 55, 37, 19, 67, 87, 18.00, Reckless, Dalian, 0xe286c3, Electric weakness, 12' 1'', 40.94025, False, True, False, False
Green Girl, 82, 1, 50, 25, 51, 14, 55, 87, 56, 14, 28.20, Loyal, Toronto, 0x75df72, Silver weakness, 18' 3'', 97.13689, True, True, True, True
Captain X, 5, 83, 51, 33, 13, 43, 51, 39, 4, 11, 21.45, Cold blooded, Luanda, 0xe64700, Short sighted, 8' 11'', 167.64190, True, False, False, True
Green Surfer, 1, 73, 60, 21, 27, 26, 74, 47, 73, 73, 27.20, Reckless, Istanbul, 0x611025, Vengeful, 0' 7'', 179.29259, False, True, True, True
Mr Phantom, 88, 55, 40, 25, 42, 100, 18, 60, 35, 94, 37.25, Arrogant, Bangkok, 0x217654, Obsessive, 5' 1'', 138.24021, True, False, True, True
Ancient Hornet, 92, 38, 32, 94, 48, 62, 26, 62, 50, 7, 26.82, Determined, San Jose, 0x0c2bdb, Water weakness, 10' 2'', 18.84002, False, True, True, False
Green Ghost, 51, 6, 47, 21, 5, 56, 44, 62, 39, 36, 18.00, Obsessive, Dalian, 0xc88f0a, Impulsive, 5' 3'', 219.27015, True, False, False, True
The Darkness, 78, 69, 77, 80, 75, 88, 77, 16, 61, 46, 42.20, Arrogant, Johannesburg, 0x3520b1, Soft hearted, 7' 9'', 143.42327, True, True, False, True
Master Centurion, 20, 65, 19, 18, 53, 54, 7, 7, 73, 49, 18.00, Clever, Columbus, 0xa6b545, Short sighted, 0' 5'', 16.00547, True, True, True, False
Silver Hulk, 86, 98, 1, 74, 0, 43, 22, 10, 80, 76, 24.43, Vengeful, Xi'an, 0x9eca8e, Silver weakness, 0' 3'', 50.75158, False, False, True, False
Power Void, 38, 79, 12, 65, 32, 76, 84, 78, 52, 80, 29.21, Obsessive, Indianapolis, 0xa58bc9, Magic vulnerable, 8' 5'', 183.42535, False, True, False, True
Ms Entity, 35, 65, 85, 63, 96, 41, 60, 5, 47, 3, 48.10, Cold blooded, Nairobi, 0x5a615b, Hubris, 1' 6'', 202.62945, False, True, False, True
Green Cloak, 8, 33, 60, 74, 67, 81, 80, 49, 63, 64, 39.50, Stoic, Sydney, 0xf222dd, Lonely, 14' 9'', 73.60836, True, False, False, False
Silver Hornet, 86, 34, 49, 51, 32, 20, 77, 9, 3, 79, 41.42, Arrogant, Buenos Aires, 0xd2721e, Prideful, 2' 10'', 210.32096, False, True, True, True
Iron Daredevil, 17, 17, 68, 47, 48, 90, 59, 90, 100, 55, 47.46, Loyal, Seattle, 0xc2bf50, Reckless, 3' 10'', 228.67686, False, False, True, True
Spider Shadow, 51, 14, 21, 25, 97, 87, 65, 50, 68, 40, 30.09, Cruel, Ankara, 0x90b919, Poison susceptible, 1' 2'', 122.32462, True, False, True, True
Super Hornet, 58, 50, 74, 0, 29, 71, 82, 10, 68, 83, 18.00, Vengeful, Ankara, 0xccf86f, Egotistical, 6' 5'', 53.04086, True, False, False, True
Impossible Claw, 36, 84, 43, 73, 58, 31, 23, 14, 23, 96, 18.00, Protective, San Diego, 0xe0acb7, Hotheaded, 5' 1'', 247.80642, False, True, False, False
Wonder Girl, 50, 53, 92, 75, 96, 89, 8, 79, 48, 21, 50.34, Honorable, Mumbai, 0x7d4c24, Guilt ridden, 9' 8'', 286.99214, False, True, False, True
Wonder Centurion, 54, 96, 78, 17, 8, 31, 5, 65, 55, 2, 59.75, Vengeful, Beijing, 0xa42e20, Energy drain, 13' 7'', 124.32834, False, True, False, False
Super Claw, 20, 49, 25, 81, 40, 99, 4, 87, 28, 29, 18.00, Sarcastic, Madrid, 0xc2768f, Naive, 10' 1'', 157.87646, False, False, False, True
Metal Skull, 67, 36, 73, 13, 60, 45, 33, 82, 73, 50, 21.37, Obsessive, Addis Ababa, 0x340924, Fearful, 20' 1'', 34.76778, True, True, False, False
Dark Fist, 16, 23, 29, 81, 72, 87, 38, 73, 60, 29, 18.00, Determined, Shenzhen, 0xd48425, Sound sensitive, 1' 4'', 21.97901, False, True, True, False
Captain Surfer, 100, 19, 80, 72, 28, 91, 64, 4, 79, 86, 40.62, Cruel, Seoul, 0xdcb2dd, Ice weakness, 12' 10'', 170.38181, False, False, True, True
Incredible Cloak, 100, 55, 12, 55, 88, 24, 0, 3, 86, 95, 54.69, Arrogant, Kuala Lumpur, 0x57e45f, Prideful, 1' 6'', 224.57164, True, True, False, True
Masked Machine, 63, 71, 7, 64, 18, 84, 80, 25, 12, 2, 55.68, Determined, Singapore, 0x3535fa, Overconfident, 4' 11'', 253.51938, False, True, False, False
The Man, 39, 91, 68, 69, 39, 73, 62, 64, 21, 92, 18.00, Reckless, Santiago, 0x0a7917, Guilt ridden, 14' 2'', 23.37449, True, True, False, False
Iron Torch, 42, 84, 22, 30, 87, 78, 97, 36, 93, 16, 32.77, Vengeful, Porto Alegre, 0x7bce3c, Obsessive, 6' 11'', 23.81980, True, True, False, True
Iron Girl, 93, 11, 53, 17, 87, 62, 3, 72, 50, 19, 19.59, Stoic, Dongguan, 0xebf2f1, Electric weakness, 11' 1'', 229.10948, True, True, False, False
Power Fist, 67, 33, 61, 96, 48, 62, 19, 29, 2, 84, 55.22, Arrogant, Brasilia, 0x4798af, Paranoid, 8' 7'', 139.26344, True, False, False, True
Omega Warrior, 36, 59, 68, 79, 11, 100, 13, 15, 2, 60, 18.00, Ruthless, Bogota, 0x21c139, Hotheaded, 3' 4'', 61.13767, False, True, False, False
Rocket Torch, 90, 96, 19, 8, 32, 78, 69, 59, 7, 12, 18.00, Honorable, Haerbin, 0xf116e5, Magic vulnerable, 19' 9'', 0.82952, False, True, True, True
Radioactive Master, 81, 19, 58, 42, 1, 10, 64, 78, 91, 89, 27.63, Cunning, Denver, 0x0597ae, Technology vulnerable, 18' 11'', 233.20900, True, True, False, True
Green Shadow, 49, 6, 20, 85, 59, 29, 19, 70, 45, 32, 49.94, Honorable, Moscow, 0xf6a4ca, Ice weakness, 7' 5'', 5.58145, False, False, True, True
The Claw, 73, 97, 60, 46, 41, 34, 33, 76, 10, 50, 53.37, Vengeful, Dar es Salaam, 0xc00ca7, Manipulable, 4' 5'', 147.35845, True, False, False, False
Metal Doom, 13, 24, 71, 41, 58, 51, 13, 35, 38, 93, 57.05, Reckless, Manila, 0xc9bc37, Obsessive, 19' 4'', 235.12409, False, True, True, True
Spider Void, 43, 23, 44, 77, 6, 83, 84, 50, 20, 2, 37.81, Brave, Dhaka, 0xa7d863, Reckless, 1' 10'', 196.15253, True, False, True, True
Wonder Crusader, 13, 58, 5, 68, 69, 34, 74, 38, 75, 76, 37.63, Manipulative, Sao Paulo, 0x19be21, Radiation weak, 2' 11'', 37.85371, False, True, False, False
Omega Shadow, 1, 38, 42, 77, 80, 10, 26, 67, 19, 66, 56.52, Sarcastic, Bogota, 0x7b136c, Naive, 17' 9'', 78.42254, True, True, False, True
Power Doom, 73, 11, 75, 17, 39, 49, 22, 13, 13, 53, 33.67, Compassionate, Manila, 0x1da488, Electric weakness, 17' 4'', 259.04873, False, True, False, False
Iron Hulk, 28, 100, 93, 91, 29, 100, 82, 62, 66, 66, 31.02, Vengeful, Buenos Aires, 0x5f283e, Radiation weak, 19' 11'', 187.96504, False, False, False, True
Invisible Torch, 33, 43, 24, 52, 19, 3, 52, 70, 21, 44, 40.96, Clever, Paris, 0xcd6fb2, Poison susceptible, 10' 9'', 108.69413, True, True, False, False
Metal Lightning, 23, 2, 49, 52, 74, 76, 57, 90, 2, 72, 57.17, Ruthless, Kinshasa, 0xd582de, Fearful, 18' 4'', 182.15987, True, False, False, False
